pos,true_label,predicted_label,row_index,description
1289,Business,Sci/Tech,1289,"Hurricane Frances could cause \$3-6bn in insured losses in the US, less than experts first predicted."
2047,World,Sci/Tech,2047,"BEIJING -- Step back, Confucius. Move over, Mao. Dr. Freud is making the rounds. Once vilified by the communists as a remnant of bourgeois imperialism, the practice of psychology -- and especially the Western ritual of going to a therapist -- is gaining popularity in this country of budding capitalists."
2719,Sci/Tech,Business,2719,"SourceLabs could create some buzz because of its pedigree team of founders. The company is led by Chief Executive Byron Sebastian, a former executive at San Jose #39;s BEA Systems, who founded the company in spring."
3679,Sci/Tech,Business,3679,"WASHINGTON -- In what regulators are calling a first, the federal government has asked for a court order to shut down a spyware operation."
3689,Sci/Tech,Business,3689,"Motorola is working with MasterCard to introduce a ""lifestyle changing"" credit card phone by year's end."
5325,Sci/Tech,Business,5325,"IBM #39;s five-year, \$100 million Blue Gene project on Monday bore commercial fruit as the Armonk, NY-based computer maker announced it was offering the supercomputer to anyone who has at least \$1."
6518,World,Sports,6518,Sri Lanka #39;s army Sunday blamed theTamil Tigers for failing to attend a meeting Saturday which they had agreed to attend during a meeting with the international trucemonitors and the government troops.
6565,Business,Sci/Tech,6565,Denmark #39;s leading telecoms operator TDC says it will launch a low-budget mobile telephone operator dubbed  quot;easyMobile quot; with mobile network operator T-Mobile in Britain in March 2005.
6930,Sports,World,6930,Kieran Richardson has banished any thought of leaving Manchester United - either permanently or on loan. The 20-year-old Londoner is expected to make his 20th senior appearance tonight as Sir Alex Ferguson 
7122,Sci/Tech,Business,7122,"The US Supreme Court on Friday agreed to consider whether Internet file-trading networks should be held responsible when their users copy music, movies and other protected works without permission."
